,precision,recall,f1-score,support
Apple___Apple_scab,0.9365079365079365,0.9365079365079365,0.9365079365079365,126.0
Apple___Black_rot,1.0,1.0,1.0,125.0
Apple___Cedar_apple_rust,0.9454545454545454,0.9454545454545454,0.9454545454545454,55.0
Apple___healthy,0.9876923076923076,0.9756838905775076,0.981651376146789,329.0
Blueberry___healthy,0.9966666666666667,0.9966666666666667,0.9966666666666667,300.0
Cherry_(including_sour)___Powdery_mildew,0.9766355140186916,0.9952380952380953,0.9858490566037735,210.0
Cherry_(including_sour)___healthy,1.0,0.9882352941176471,0.9940828402366864,170.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8,0.8543689320388349,0.8262910798122066,103.0
Corn_(maize)___Common_rust_,0.9916666666666667,0.99581589958159,0.9937369519832986,239.0
Corn_(maize)___Northern_Leaf_Blight,0.9210526315789473,0.8883248730964467,0.9043927648578811,197.0
Corn_(maize)___healthy,1.0,1.0,1.0,233.0
Grape___Black_rot,0.9539748953974896,0.9661016949152542,0.96,236.0
Grape___Esca_(Black_Measles),0.9709090909090909,0.967391304347826,0.969147005444646,276.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,215.0
Grape___healthy,0.9880952380952381,0.9880952380952381,0.9880952380952381,84.0
Orange___Haunglongbing_(Citrus_greening),0.9954669084315503,0.9963702359346642,0.9959183673469387,1102.0
Peach___Bacterial_spot,0.982532751091703,0.9803921568627451,0.9814612868047983,459.0
Peach___healthy,0.9459459459459459,0.9722222222222222,0.958904109589041,72.0
"Pepper,_bell___Bacterial_spot",0.9851485148514851,0.995,0.9900497512437811,200.0
"Pepper,_bell___healthy",0.9798657718120806,0.9898305084745763,0.984822934232715,295.0
Potato___Early_blight,0.9852216748768473,1.0,0.9925558312655087,200.0
Potato___Late_blight,0.9565217391304348,0.99,0.972972972972973,200.0
Potato___healthy,0.9642857142857143,0.8709677419354839,0.9152542372881356,31.0
Raspberry___healthy,0.9866666666666667,1.0,0.9932885906040269,74.0
Soybean___healthy,0.9902534113060428,0.9980353634577603,0.9941291585127201,1018.0
Squash___Powdery_mildew,0.9972826086956522,1.0,0.998639455782313,367.0
Strawberry___Leaf_scorch,1.0,0.9954954954954955,0.9977426636568849,222.0
Strawberry___healthy,0.9888888888888889,0.967391304347826,0.978021978021978,92.0
Tomato___Bacterial_spot,0.9339407744874715,0.9647058823529412,0.9490740740740741,425.0
Tomato___Early_blight,0.7920353982300885,0.895,0.8403755868544601,200.0
Tomato___Late_blight,0.957983193277311,0.8952879581151832,0.925575101488498,382.0
Tomato___Leaf_Mold,0.9668508287292817,0.9162303664921466,0.9408602150537635,191.0
Tomato___Septoria_leaf_spot,0.963302752293578,0.8898305084745762,0.9251101321585903,354.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9437869822485208,0.9522388059701492,0.9479940564635958,335.0
Tomato___Target_Spot,0.922509225092251,0.8896797153024911,0.9057971014492754,281.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9896907216494846,0.9859943977591037,0.9878391019644528,1071.0
Tomato___Tomato_mosaic_virus,0.9736842105263158,1.0,0.9866666666666667,74.0
Tomato___healthy,0.963302752293578,0.9905660377358491,0.9767441860465116,318.0
accuracy,0.9718257987293988,0.9718257987293988,0.9718257987293988,0.9718257987293988
macro avg,0.9640479717841702,0.9640295545150213,0.9637282374039833,10861.0
weighted avg,0.9723047699409937,0.9718257987293988,0.9718489659387247,10861.0
